Timestamp,CouchDB,Apache Hadoop,HPCC,Riak,neo4j
2009-01-04,39,4,7,2,3
2009-01-11,30,5,14,2,4
2009-01-18,40,8,9,2,6
2009-01-25,33,5,8,2,2
2009-02-01,48,5,11,2,2
2009-02-08,45,3,13,2,4
2009-02-15,39,8,9,2,3
2009-02-22,34,5,8,2,3
2009-03-01,41,3,9,2,3
2009-03-08,43,7,9,2,2
2009-03-15,46,6,8,2,2
2009-03-22,61,3,8,2,2
2009-03-29,49,6,8,2,2
2009-04-05,46,6,10,2,2
2009-04-12,37,9,8,4,2
2009-04-19,48,9,8,2,6
2009-04-26,71,7,9,2,2
2009-05-03,70,4,6,2,2
2009-05-10,54,17,4,2,2
2009-05-17,55,13,8,2,4
2009-05-24,47,5,7,2,3
2009-05-31,51,8,8,2,3
2009-06-07,45,20,7,2,2
2009-06-14,62,9,14,2,7
2009-06-21,61,7,9,2,3
2009-06-28,47,10,8,2,4
2009-07-05,67,8,6,2,4
2009-07-12,59,15,4,2,3
2009-07-19,56,6,3,2,3
2009-07-26,56,8,6,2,6
2009-08-02,48,5,6,2,2
2009-08-09,58,6,5,2,5
2009-08-16,62,8,13,2,2
2009-08-23,53,10,7,2,2
2009-08-30,50,7,5,4,2
2009-09-06,64,5,7,2,2
2009-09-13,67,4,6,2,4
2009-09-20,53,7,11,5,4
2009-09-27,62,10,11,3,3
2009-10-04,58,8,11,2,2
2009-10-11,71,10,6,5,3
2009-10-18,80,8,7,3,2
2009-10-25,83,7,11,3,3
2009-11-01,80,12,6,3,4
2009-11-08,83,12,6,4,4
2009-11-15,78,10,7,2,4
2009-11-22,62,9,7,3,3
2009-11-29,55,9,6,2,3
2009-12-06,71,11,7,4,4
2009-12-13,79,8,7,2,4
2009-12-20,55,15,5,4,5
2009-12-27,65,5,7,4,4
2010-01-03,61,9,6,2,2
2010-01-10,49,17,6,2,6
2010-01-17,61,12,6,4,5
2010-01-24,67,9,6,11,4
2010-01-31,75,8,6,5,5
2010-02-07,86,10,7,9,5
2010-02-14,77,9,12,7,9
2010-02-21,73,13,8,5,6
2010-02-28,90,11,6,3,7
2010-03-07,84,11,7,4,9
2010-03-14,90,12,9,4,7
2010-03-21,84,10,6,7,6
2010-03-28,89,9,9,5,6
2010-04-04,76,5,7,7,7
2010-04-11,78,15,8,4,4
2010-04-18,77,8,6,4,8
2010-04-25,62,9,4,5,6
2010-05-02,69,13,6,4,4
2010-05-09,74,14,4,5,8
2010-05-16,81,8,7,11,11
2010-05-23,72,10,10,5,6
2010-05-30,66,7,7,4,10
2010-06-06,75,7,7,6,10
2010-06-13,68,9,8,5,7
2010-06-20,73,9,7,4,5
2010-06-27,63,12,12,6,4
2010-07-04,80,12,7,6,7
2010-07-11,100,9,6,5,9
2010-07-18,79,10,4,8,10
2010-07-25,74,10,7,7,8
2010-08-01,84,10,6,12,6
2010-08-08,84,14,8,8,7
2010-08-15,87,11,7,9,7
2010-08-22,70,16,8,8,6
2010-08-29,80,13,7,5,5
2010-09-05,94,10,7,9,10
2010-09-12,84,11,8,3,7
2010-09-19,74,10,4,4,5
2010-09-26,73,27,4,8,9
2010-10-03,75,15,7,9,8
2010-10-10,86,15,8,8,8
2010-10-17,87,19,7,5,11
2010-10-24,84,14,8,7,7
2010-10-31,78,17,9,7,7
2010-11-07,76,11,9,10,9
2010-11-14,80,15,6,13,7
2010-11-21,66,7,5,6,5
2010-11-28,72,14,6,8,7
2010-12-05,84,12,12,8,7
2010-12-12,65,14,8,10,7
2010-12-19,61,16,5,8,9
2010-12-26,57,7,11,7,9
2011-01-02,77,11,2,11,6
2011-01-09,68,13,8,9,11
2011-01-16,71,13,4,5,8
2011-01-23,72,12,5,9,11
2011-01-30,73,19,6,7,10
2011-02-06,93,17,6,8,11
2011-02-13,73,24,9,6,6
2011-02-20,83,20,8,7,9
2011-02-27,76,12,7,12,10
2011-03-06,86,16,4,10,12
2011-03-13,83,16,6,9,13
2011-03-20,82,25,8,10,13
2011-03-27,88,28,7,14,10
2011-04-03,82,17,7,8,12
2011-04-10,78,18,8,11,16
2011-04-17,84,15,6,10,15
2011-04-24,87,18,9,10,11
2011-05-01,70,14,8,8,15
2011-05-08,73,19,6,8,19
2011-05-15,84,20,6,11,14
2011-05-22,82,22,7,10,10
2011-05-29,68,18,5,6,15
2011-06-05,69,17,7,10,16
2011-06-12,69,22,15,12,15
2011-06-19,72,14,14,14,11
2011-06-26,74,25,14,10,13
2011-07-03,75,22,7,8,15
2011-07-10,70,20,6,11,9
2011-07-17,77,19,10,7,18
2011-07-24,81,15,8,11,13
2011-07-31,76,20,5,8,13
2011-08-07,73,18,9,10,11
2011-08-14,63,19,7,11,13
2011-08-21,70,18,10,9,16
2011-08-28,66,19,9,10,16
2011-09-04,61,17,11,8,14
2011-09-11,65,23,14,11,15
2011-09-18,74,15,8,12,22
2011-09-25,77,20,10,15,14
2011-10-02,77,18,6,12,14
2011-10-09,77,26,11,12,16
2011-10-16,72,23,8,11,17
2011-10-23,84,21,10,10,15
2011-10-30,71,26,10,9,12
2011-11-06,73,31,6,16,16
2011-11-13,73,22,8,10,19
2011-11-20,65,25,5,11,19
2011-11-27,74,30,8,11,15
2011-12-04,60,23,8,12,19
2011-12-11,63,23,13,13,17
2011-12-18,62,22,7,13,15
2011-12-25,45,19,5,11,13
2012-01-01,64,29,7,13,17
2012-01-08,80,29,7,10,16
2012-01-15,71,29,9,16,21
2012-01-22,71,26,6,10,17
2012-01-29,67,29,12,12,20
2012-02-05,61,25,11,14,22
2012-02-12,58,24,5,13,18
2012-02-19,60,23,11,14,21
2012-02-26,59,30,11,15,22
2012-03-04,62,33,8,9,20
2012-03-11,57,27,10,12,17
2012-03-18,68,31,13,14,20
2012-03-25,65,32,12,15,19
2012-04-01,62,30,9,17,22
2012-04-08,67,23,8,15,22
2012-04-15,62,24,10,15,20
2012-04-22,65,32,8,17,22
2012-04-29,62,24,12,14,20
2012-05-06,65,29,11,14,25
2012-05-13,61,26,11,19,24
2012-05-20,56,29,7,15,22
2012-05-27,63,26,7,17,24
2012-06-03,61,25,7,17,22
2012-06-10,59,39,9,15,27
2012-06-17,58,29,9,12,19
2012-06-24,58,29,12,12,24
2012-07-01,57,21,9,16,20
2012-07-08,54,29,6,16,25
2012-07-15,54,28,10,17,25
2012-07-22,58,30,9,15,21
2012-07-29,51,23,7,13,23
2012-08-05,54,25,6,15,14
2012-08-12,55,28,9,17,21
2012-08-19,54,33,6,15,21
2012-08-26,58,29,10,16,19
2012-09-02,54,32,7,17,24
2012-09-09,50,29,15,16,18
2012-09-16,54,25,20,16,18
2012-09-23,52,35,14,17,24
2012-09-30,50,28,12,14,20
2012-10-07,58,34,14,21,21
2012-10-14,53,29,10,15,23
2012-10-21,59,34,10,16,22
2012-10-28,47,31,11,17,26
2012-11-04,48,35,11,15,26
2012-11-11,49,23,11,15,20
2012-11-18,55,33,12,13,21
2012-11-25,54,30,11,12,24
2012-12-02,54,33,10,13,22
2012-12-09,45,31,10,17,15
2012-12-16,56,32,13,14,21
2012-12-23,34,27,10,7,14
2012-12-30,37,24,11,9,21
2013-01-06,47,31,8,14,27
2013-01-13,49,28,9,12,27
2013-01-20,53,36,15,14,25
2013-01-27,52,30,16,14,24
2013-02-03,46,31,12,13,27
2013-02-10,47,36,8,15,24
2013-02-17,50,35,17,19,27
2013-02-24,56,45,11,15,27
2013-03-03,45,41,12,17,29
2013-03-10,47,43,6,16,24
2013-03-17,53,38,7,16,27
2013-03-24,44,37,8,19,24
2013-03-31,46,38,8,19,26
2013-04-07,56,42,12,15,29
2013-04-14,51,35,12,20,28
2013-04-21,49,41,9,12,31
2013-04-28,45,36,9,19,25
2013-05-05,53,35,12,14,27
2013-05-12,54,38,13,16,29
2013-05-19,47,35,9,14,32
2013-05-26,40,35,10,15,27
2013-06-02,39,33,8,17,30
2013-06-09,49,34,9,12,33
2013-06-16,48,34,7,16,29
2013-06-23,51,38,11,12,33
2013-06-30,46,35,8,15,27
2013-07-07,48,37,18,13,31
2013-07-14,51,37,10,19,30
2013-07-21,42,39,9,16,30
2013-07-28,50,37,5,13,30
2013-08-04,47,29,6,17,32
2013-08-11,43,30,8,15,26
2013-08-18,49,36,10,16,31
2013-08-25,38,34,7,17,24
2013-09-01,44,36,17,13,28
2013-09-08,40,42,15,16,31
2013-09-15,45,34,16,16,30
2013-09-22,48,37,17,14,32
2013-09-29,44,39,12,15,32
2013-10-06,49,31,9,21,34
2013-10-13,49,42,9,14,31
2013-10-20,51,36,9,13,33
2013-10-27,47,40,13,20,37
2013-11-03,50,41,12,15,29
2013-11-10,52,42,17,18,28
2013-11-17,47,41,13,15,33
2013-11-24,45,38,11,14,33
2013-12-01,46,37,12,15,32
2013-12-08,42,45,13,14,38
2013-12-15,44,39,14,14,35
2013-12-22,33,30,9,12,29
2013-12-29,36,33,7,6,23
2014-01-05,45,40,6,15,34
2014-01-12,47,37,12,17,35
2014-01-19,41,44,9,16,30
2014-01-26,43,39,12,17,34
2014-02-02,40,37,10,14,36
2014-02-09,48,46,16,14,36
2014-02-16,51,46,8,14,41
2014-02-23,47,47,8,15,35
2014-03-02,51,46,10,16,33
2014-03-09,49,49,8,15,34
2014-03-16,48,44,11,16,35
2014-03-23,50,50,10,18,37
2014-03-30,48,47,12,11,39
2014-04-06,52,45,10,14,37
2014-04-13,44,51,11,15,36
2014-04-20,48,45,12,16,33
2014-04-27,49,45,17,12,36
2014-05-04,54,41,15,11,38
2014-05-11,47,41,17,13,36
2014-05-18,40,45,10,13,34
2014-05-25,37,45,7,14,38
2014-06-01,35,50,6,14,35
2014-06-08,33,45,9,12,40
2014-06-15,41,44,5,9,37
2014-06-22,40,45,9,13,35
2014-06-29,37,46,13,14,34
2014-07-06,38,45,10,13,40
2014-07-13,43,43,12,11,33
2014-07-20,39,50,7,15,36
2014-07-27,35,44,9,14,35
2014-08-03,43,43,8,16,38
2014-08-10,42,37,8,10,35
2014-08-17,37,43,9,12,36
2014-08-24,39,48,7,11,37
2014-08-31,38,42,13,13,34
2014-09-07,40,46,15,14,31
2014-09-14,42,43,12,10,37
2014-09-21,42,48,9,11,39
2014-09-28,42,38,14,10,36
2014-10-05,46,45,10,12,39
2014-10-12,36,44,8,11,31
2014-10-19,38,45,14,10,35
2014-10-26,41,44,9,14,33
2014-11-02,39,48,8,11,38
2014-11-09,39,52,10,16,33
2014-11-16,43,52,8,11,42
2014-11-23,35,36,9,8,34
2014-11-30,43,42,11,11,34
2014-12-07,41,45,10,11,38
2014-12-14,36,45,11,10,33
2014-12-21,27,33,9,6,21
2014-12-28,24,30,7,7,19
2015-01-04,35,39,8,9,29
2015-01-11,40,40,10,9,34
2015-01-18,41,45,6,11,38
2015-01-25,41,51,7,10,31
2015-02-01,39,51,10,11,35
2015-02-08,36,47,10,11,33
2015-02-15,38,47,10,10,33
2015-02-22,40,46,10,10,37
2015-03-01,42,53,9,9,37
2015-03-08,40,51,10,12,40
2015-03-15,36,44,11,9,36
2015-03-22,35,49,12,11,43
2015-03-29,41,48,9,11,32
2015-04-05,38,49,9,8,36
2015-04-12,33,50,9,11,44
2015-04-19,46,55,10,12,42
2015-04-26,33,48,9,10,39
2015-05-03,42,52,11,10,32
2015-05-10,34,43,7,9,35
2015-05-17,37,45,8,9,36
